yubihsm-shell sends unencrypted get-device-info, so this is hand-rolled.
Fortunately, loadReplayConnector ignored everything that isn't a USB endpoint transfer

DEBU[4941] usb endpoint write    buf="[6 0 0]"
DEBU[4941] usb endpoint read     buf="[134 0 57 2 0 0 7 91 205 21 62 62 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]"
DEBU[0000] usb endpoint write    buf="[3 0 10 0 1 127 135 18 148 161 19 51 235]"
DEBU[0000] usb endpoint read     buf="[131 0 17 4 255 19 43 169 138 26 130 71 46 117 29 141 123 60 202 54]"
DEBU[0000] usb endpoint write    buf="[4 0 17 4 197 115 168 57 200 171 27 205 218 251 75 177 22 102 138 240]"
DEBU[0000] usb endpoint read     buf="[132 0 0]"
DEBU[0000] usb endpoint write    buf="[5 0 25 4 42 194 102 21 163 159 127 228 213 24 228 220 76 112 115 0 132 121 241 179 29 78 120 0]"
DEBU[0000] usb endpoint read     buf="[133 0 73 4 66 68 187 72 211 95 217 39 239 15 56 57 193 187 31 126 3 240 46 118 13 65 93 52 122 24 182 247 108 151 146 252 215 99 233 163 157 231 17 210 82 188 54 239 85 190 185 90 68 219 166 104 168 247 234 142 190 42 80 94 128 8 131 132 159 218 60 224 112 214 136 115]"
DEBU[0000] usb endpoint write    buf="[5 0 25 4 29 101 192 70 198 171 4 92 178 24 213 206 190 167 241 12 87 234 251 223 93 110 142 74]"
DEBU[0000] usb endpoint read     buf="[133 0 73 4 13 251 17 253 189 113 141 232 53 100 166 209 208 63 87 185 111 56 20 173 199 190 39 231 209 201 21 97 16 72 157 233 252 86 162 24 75 146 236 212 142 34 128 26 117 112 205 63 217 74 171 177 21 235 203 223 198 62 36 157 120 115 26 234 121 65 55 122 136 249 22 91]"
DEBU[0000] usb endpoint write    buf="[5 0 25 4 158 169 182 138 214 67 98 133 95 162 67 5 207 47 6 176 26 205 27 68 157 255 212 141]"
DEBU[0000] usb endpoint read     buf="[133 0 73 4 165 146 220 162 23 251 247 169 55 145 83 191 150 105 61 6 133 24 93 215 52 170 99 106 154 120 240 25 3 99 242 182 129 129 208 85 64 27 80 89 37 99 202 57 203 213 203 242 196 111 222 81 174 140 118 52 28 178 32 211 3 246 188 2 141 51 23 15 41 204 35 111]"
DEBU[0000] usb endpoint write    buf="[5 0 25 4 225 175 93 180 183 181 90 227 75 14 208 35 86 115 186 254 131 221 12 202 129 24 65 137]"
DEBU[0000] usb endpoint read     buf="[133 0 73 4 221 81 213 173 135 47 71 148 250 130 159 88 76 111 161 191 12 215 131 18 227 34 56 119 192 131 66 137 168 27 13 97 106 51 173 154 237 118 71 22 63 116 212 26 82 30 141 245 211 192 48 125 190 123 133 91 101 97 59 27 43 104 86 85 137 145 168 9 157 6 244 218]"
DEBU[0000] usb endpoint write    buf="[5 0 25 4 152 72 96 6 3 102 156 73 165 80 136 0 34 149 97 167 70 127 6 113 75 229 244 134]"
DEBU[0000] usb endpoint read     buf="[133 0 73 4 5 182 120 118 169 23 79 143 109 12 66 195 35 189 92 39 230 111 103 198 47 149 84 4 94 171 33 44 179 243 14 46 38 182 17 137 13 87 107 125 122 216 253 11 7 52 145 46 188 123 199 2 223 231 71 82 75 188 26 37 0 113 145 175 254 206 44 23 117 176 91 30]"
