EBU[7951] usb device already open                       Correlation-ID=7fa844e9-d7f7-4da5-a104-0829fd666ac6
DEBU[7951] usb endpoint write                            Correlation-ID=7fa844e9-d7f7-4da5-a104-0829fd666ac6 buf="[3 0 10 0 123 210 178 157 18 133 42 230 205]" err="<nil>" len=13 n=13
DEBU[7951] usb endpoint read                             Correlation-ID=7fa844e9-d7f7-4da5-a104-0829fd666ac6 buf="[131 0 17 0 37 82 103 106 214 113 187 14 219 203 89 177 90 49 208 237]" err="<nil>" len=20 n=20
INFO[7951] handled request                               Content-Length=13 Content-Type=application/octet-stream Method=POST RemoteAddr="127.0.0.1:34946" StatusCode=200 URI=/connector/api User-Agent=Go-http-client/1.1 X-Real-IP=127.0.0.1 X-Request-ID=7fa844e9-d7f7-4da5-a104-0829fd666ac6 latency=10.633532ms
DEBU[7951] usb device already open                       Correlation-ID=52505022-6ba4-4d3f-b3a5-7786fa89c5d2
DEBU[7951] usb endpoint write                            Correlation-ID=52505022-6ba4-4d3f-b3a5-7786fa89c5d2 buf="[4 0 17 0 188 247 100 53 38 245 12 216 80 186 173 37 80 83 110 72]" err="<nil>" len=20 n=20
DEBU[7951] usb endpoint read                             Correlation-ID=52505022-6ba4-4d3f-b3a5-7786fa89c5d2 buf="[132 0 0]" err="<nil>" len=3 n=3
INFO[7951] handled request                               Content-Length=20 Content-Type=application/octet-stream Method=POST RemoteAddr="127.0.0.1:34946" StatusCode=200 URI=/connector/api User-Agent=Go-http-client/1.1 X-Real-IP=127.0.0.1 X-Request-ID=52505022-6ba4-4d3f-b3a5-7786fa89c5d2 latency=9.417294ms
DEBU[7951] usb device already open                       Correlation-ID=f7b998d7-ffc7-4ad8-9655-5320a7eca872
DEBU[7951] usb endpoint write                            Correlation-ID=f7b998d7-ffc7-4ad8-9655-5320a7eca872 buf="[5 0 25 0 115 122 64 16 233 205 67 211 22 11 148 133 41 207 209 17 95 101 37 110 124 186 63 206]" err="<nil>" len=28 n=28
DEBU[7951] usb endpoint read                             Correlation-ID=f7b998d7-ffc7-4ad8-9655-5320a7eca872 buf="[133 0 25 0 172 44 172 223 79 184 253 60 246 81 199 108 170 93 7 230 242 253 154 241 26 184 46 62]" err="<nil>" len=28 n=28
INFO[7951] handled request                               Content-Length=28 Content-Type=application/octet-stream Method=POST RemoteAddr="127.0.0.1:34946" StatusCode=200 URI=/connector/api User-Agent=Go-http-client/1.1 X-Real-IP=127.0.0.1 X-Request-ID=f7b998d7-ffc7-4ad8-9655-5320a7eca872 latency=2.115064ms
